Sport,Year,Manufacturer,Athlete,Number,Description,Grade,Certification No.,Purchase Date,Purchase From,Purchase Price,Sold Date,Sold Price,Sold Payment Received,Expenses Shipping,Expenses Grading,Expenses Fees,Profit,ROI
Basketball,2023-24,Donruss,Jarrett Allen,40,Green,,,4/12/2024,Facebook,$1.00,,,,,,,,
Basketball,2023-24,Donruss,Bradley Beal,19,Green,,,4/12/2024,Facebook,$1.00,,,,,,,,
Basketball,2023-24,Donruss,Ochai Agbaji,42,Green,,,4/12/2024,Facebook,$1.00,,,,,,,,
Basketball,2023-24,Donruss Optic,Khris Middleton,82,Purple,,,4/12/2024,Facebook,$1.00,,,,,,,,
Basketball,2023-24,Donruss,Ja Morant,131,Green,,,4/12/2024,Facebook,$1.00,,,,,,,,
Basketball,2023-24,Donruss,Trae Young,11,Franchise Features,,,4/12/2024,Facebook,$1.00,,,,,,,,
Basketball,2023-24,Donruss Optic,Nikola Jovic,224,Rookie,,,4/12/2024,Facebook,$1.00,,,,,,,,
Basketball,2023-24,Donruss,Donovan Mitchell,6,Franchise Features,,,4/12/2024,Facebook,$1.00,,,,,,,,
Basketball,2023-24,Donruss,Shai Gilgeous-Alexander,18,Franchise Features,,,4/12/2024,Facebook,$1.00,,,,,,,,
Basketball,2023-24,Donruss,Giannis Antetokounmpo,188,Green,,,4/12/2024,Facebook,$1.00,,,,,,,,
Basketball,2023-24,Donruss,Zion Williamson,28,Franchise Features,,,4/12/2024,Facebook,$1.00,,,,,,,,
Basketball,2023-24,Prizm Draft Picks,Steph Curry,53,Red,,,4/12/2024,Facebook,$1.00,,,,,,,,
Basketball,2023-24,Prizm Draft Picks,Larry Bird,95,Red,,,4/12/2024,Facebook,$1.00,,,,,,,,
Basketball,2023-24,Prizm Draft Picks,Jerry West,81,Red,,,4/12/2024,Facebook,$1.00,,,,,,,,
Basketball,2023-24,Prizm Draft Picks,Tosan Evbuomwan,11,Rookie red,,,4/12/2024,Facebook,$1.00,,,,,,,,
Basketball,2023-24,Prizm Draft Picks,Scoot Henderson,24,Rookie red,,,4/12/2024,Facebook,$1.00,,,,,,,,
Basketball,2023-24,Prizm Draft Picks,Tristan Vukcevic,38,Rookie red,,,4/12/2024,Facebook,$1.00,,,,,,,,
Basketball,2023-24,Prizm Draft Picks,Jordan Hawkins,42,Rookie Green,,,4/12/2024,Facebook,$1.00,,,,,,,,
Basketball,2023-24,Prizm Draft Picks,Kevin Durant,17,Fireworks,,,4/12/2024,Facebook,$1.00,,,,,,,,
Soccer,2021-22,Donruss,Zlatan Ibrahimovic,17,Marvels,,,4/13/2024,Whatnot,$9.89,,,,,,,,
Football,2023-24,Prizm Draft Picks,Will Anderson Jr,162,Rookie purple /149,,,4/13/2024,Whatnot,$9.97,,,,,,,,
Soccer,2023-24,Merlin,Alejandro Garnacho,U21-1,Under 21,,,4/20/2024,SJ Card Show,$2.00,,,,,,,,
